,newcity,clouds,country,humidity,lat,lng,maxtemp,windspeed
97,Sibiti,100,CG,99,-3.69,13.35,69.01,1.59
98,Saldanha,93,PT,96,41.42,-6.55,54.19,2.73
99,Panzhihua,72,CN,57,26.59,101.72,70.0,1.61
100,Meulaboh,89,ID,81,4.14,96.13,79.88,7.7
101,Kletskaya,42,RU,87,49.31,43.06,43.0,1.99
102,Beloha,10,MG,54,-25.17,45.06,77.85,5.84
103,Pathein,5,MM,62,16.78,94.73,86.68,4.21
104,Qaanaaq,100,GL,80,77.48,-69.36,10.09,7.43
105,Castro,90,CL,87,-42.48,-73.76,48.2,11.41
106,Westport,90,US,76,41.14,-73.36,57.2,11.41
107,Waiuku,100,NZ,63,-37.25,174.73,64.0,16.11
108,Yellowknife,75,CA,78,62.45,-114.38,12.2,6.93
109,Phuntsholing,39,IN,55,26.86,89.38,60.89,4.05
110,Marawi,100,PH,81,8.0,124.29,84.0,7.0
111,Narsaq,100,GL,74,60.91,-46.05,37.4,3.36
112,Aksu,0,KZ,54,52.04,76.93,53.6,24.61
113,Dikson,100,RU,86,73.51,80.55,9.88,10.29
114,Aykhal,90,RU,92,65.95,111.51,10.4,6.71
115,Port Macquarie,0,AU,50,-31.43,152.91,75.2,21.92
116,Marinette,90,US,60,45.1,-87.63,41.0,4.7
117,Faanui,58,PF,77,-16.48,-151.75,80.08,14.34
118,Mildura,0,AU,10,-34.18,142.16,89.01,10.29
119,East London,0,ZA,43,-33.02,27.91,55.4,13.87
120,Itarema,16,BR,73,-2.92,-39.92,76.33,10.71
121,Lagoa,90,PT,93,37.14,-8.45,66.2,2.24
122,Leningradskiy,97,RU,87,69.38,178.42,12.24,35.19
123,Sao Joao do Piaui,12,BR,41,-8.36,-42.25,78.78,8.32
124,Nicoya,100,CR,94,10.15,-85.45,77.0,3.36
125,Cocorit,57,MX,55,27.57,-109.96,74.03,5.61
126,Amazar,98,RU,77,53.86,120.88,24.96,3.51
127,Nyurba,0,RU,73,63.29,118.35,16.45,6.04
128,Gavrilov Posad,0,RU,83,56.56,40.12,28.98,0.31
129,Vao,100,EE,81,59.1,26.19,34.05,8.21
130,Chute-aux-Outardes,90,CA,93,49.12,-68.38,44.6,3.36
131,Chokurdakh,1,RU,90,70.62,147.9,-4.38,1.12
132,Cotoca,40,BO,65,-17.75,-63.0,82.4,11.41
133,Kudahuvadhoo,4,MV,70,2.67,72.89,82.51,4.18
134,Antalaha,94,MG,80,-14.9,50.28,75.22,4.61
135,Chau Doc,100,VN,68,10.71,105.12,84.79,4.21
136,Ancud,90,CL,87,-41.87,-73.83,48.2,11.41
137,Kampot,20,KH,59,10.62,104.18,89.6,6.93
138,Charcas,0,MX,67,23.13,-101.11,66.67,3.0
139,Skibbereen,75,IE,75,51.55,-9.27,44.6,20.8
140,Aktyubinskiy,68,RU,77,54.81,52.81,29.82,4.85
141,Tshikapa,100,CD,97,-6.42,20.79,68.76,1.92
142,Ponta do Sol,96,BR,85,-20.63,-46.0,66.04,4.7
143,Chuy,92,UY,96,-33.69,-53.46,70.75,10.58
144,Faya,0,SA,87,18.39,42.45,62.6,2.17
145,Half Moon Bay,0,US,50,37.46,-122.43,57.99,3.36
146,Nouadhibou,100,MR,47,20.93,-17.03,80.6,13.87
147,San Lorenzo,100,HN,92,13.43,-87.45,75.76,1.77
148,Nepa Nagar,100,IN,91,21.47,76.4,73.54,4.07
149,Muisne,100,EC,90,0.61,-80.02,74.14,11.34
150,Kumluca,0,TR,62,36.37,30.29,59.74,4.68
151,Ambilobe,0,MG,81,-13.19,49.05,72.05,7.85
152,Angoche,0,MZ,67,-16.23,39.91,75.33,8.86
153,Pacific Grove,1,US,37,36.62,-121.92,57.0,4.7
154,Airai,100,TL,40,-8.93,125.41,84.96,8.55
155,Begoro,98,GH,95,6.38,-0.38,68.31,1.74
156,Iberia,6,PE,96,-11.41,-69.49,71.51,1.52
157,Zepce,28,BA,100,44.43,18.04,48.2,1.12
158,Ishigaki,75,JP,74,24.34,124.16,80.6,16.11
159,Talaya,40,RU,76,55.79,84.89,50.0,26.84
160,Maniitsoq,2,GL,66,65.42,-52.9,31.32,5.84
161,Kosikha,75,RU,57,53.36,84.58,51.8,31.32
162,Ribeira Grande,45,PT,72,38.52,-28.7,62.24,23.87
